31.7488d0 17.829800000000002d0 0.522d0 text
31.798199999999998d0 17.613500000000002d0 0.0723d0 text
31.6646d0 19.5361d0 0.1694d0 text
30.075200000000002d0 17.552899999999998d0 0.5831000000000001d0 text
29.006300000000003d0 17.0514d0 0.38430000000000003d0 text
29.9224d0 19.841d0 0.297d0 text
29.860599999999998d0 19.8669d0 0.2978d0 text
29.9199d0 18.8524d0 0.6629999999999999d0 text
29.3566d0 18.6494d0 0.31970000000000004d0 text
27.3169d0 15.5603d0 0.46680000000000005d0 text
27.1665d0 17.1841d0 0.3839d0 text
28.8812d0 18.7746d0 0.3149d0 text
29.892999999999997d0 19.7454d0 0.5583d0 text
33.0762d0 24.499499999999998d0 0.2103d0 text
33.2051d0 24.5197d0 0.2906d0 text
33.1503d0 24.370900000000002d0 0.3039d0 text
32.9836d0 23.9735d0 0.3246d0 text
29.3426d0 23.0293d0 0.38630000000000003d0 text
31.041800000000002d0 23.9623d0 0.21059999999999998d0 text
32.2258d0 24.5181d0 0.3118d0 text
30.8657d0 23.7016d0 0.2433d0 text
32.2609d0 24.589d0 0.2646d0 text
32.922000000000004d0 23.0068d0 0.2833d0 text
32.7975d0 22.7623d0 0.356d0 text
31.738899999999997d0 20.4981d0 -0.1171d0 text
33.155699999999996d0 23.1204d0 0.4026d0 text
33.2159d0 23.2207d0 0.3333d0 text
31.6307d0 19.165599999999998d0 0.4507d0 text
53.12179999999999d0 26.7704d0 0.1281d0 text
55.13869999999999d0 26.672400000000003d0 0.1381d0 text
47.4546d0 27.8628d0 -1.4168999999999998d0 text
52.456199999999995d0 27.147700000000004d0 0.09330000000000001d0 text
55.6176d0 27.633799999999997d0 0.0789d0 text
56.308800000000005d0 25.358999999999998d0 -0.8512000000000001d0 text
50.836800000000004d0 26.4353d0 -1.0047000000000001d0 text
57.1694d0 26.448500000000003d0 0.3878d0 text
61.50020000000001d0 26.0505d0 0.0317d0 text
60.4903d0 27.857100000000003d0 -0.1436d0 text
59.4825d0 24.3198d0 -1.7319999999999998d0 text
62.8649d0 26.9984d0 -0.08099999999999999d0 text
62.6375d0 25.8942d0 -0.1268d0 text
65.2443d0 25.624999999999996d0 -0.183d0 text
70.0081d0 26.073800000000002d0 0.2895d0 text
68.0318d0 25.3089d0 -0.5792d0 text
69.2568d0 27.149299999999997d0 -7.d-4 text
69.2161d0 27.1975d0 -0.1293d0 text
69.4355d0 26.067400000000003d0 0.0036d0 text
69.66329999999999d0 26.1163d0 0.0803d0 text
71.9506d0 25.8625d0 -0.0176d0 text
72.5189d0 26.072499999999998d0 0.5955d0 text
68.779d0 27.9651d0 -0.9178999999999999d0 text
73.0151d0 27.1004d0 0.31779999999999997d0 text
72.8257d0 26.401000000000003d0 0.2439d0 text
71.3345d0 26.031900000000004d0 -0.19499999999999998d0 text
75.5043d0 26.5268d0 -0.5658d0 text
76.93100000000001d0 27.998299999999997d0 -0.11449999999999999d0 text
79.67229999999999d0 25.096d0 -0.197d0 text
80.8167d0 25.6484d0 0.3375d0 text
78.2255d0 24.8307d0 -0.153d0 text
78.0656d0 24.7978d0 -0.1928d0 text
79.25720000000001d0 26.192700000000002d0 -0.1722d0 text
85.6179d0 25.4463d0 0.2977d0 text
86.10379999999999d0 25.810100000000002d0 0.3613d0 text
86.0584d0 26.541199999999996d0 0.3868d0 text
88.0647d0 25.5281d0 0.002d0 text
88.19930000000001d0 25.6765d0 0.3601d0 text
89.1304d0 26.698499999999996d0 0.3814d0 text
87.2174d0 26.6086d0 -0.2652d0 text
87.9365d0 25.749d0 -0.006999999999999999d0 text
85.4648d0 24.7122d0 -0.5242d0 text
86.7967d0 26.598699999999997d0 -0.1372d0 text
91.1492d0 27.3258d0 0.3787d0 text
89.3812d0 26.1921d0 0.2795d0 text
92.0988d0 26.317800000000002d0 -0.36619999999999997d0 text
92.5457d0 26.254300000000004d0 -0.1191d0 text
92.6241d0 27.483600000000003d0 -0.24910000000000002d0 text
93.7816d0 27.3884d0 0.32139999999999996d0 text
92.2818d0 27.3344d0 0.2852d0 text
95.3304d0 27.203699999999998d0 0.0567d0 text
95.81739999999999d0 27.1849d0 -9.d-4 text
96.587d0 27.0462d0 0.2582d0 text
96.3317d0 29.009d0 0.52d0 text
100.2807d0 27.9031d0 0.4746d0 text
99.5909d0 28.801900000000003d0 0.2762d0 text
96.4922d0 31.3348d0 -0.8265d0 text
93.55250000000001d0 29.8594d0 -0.9393d0 text
100.96020000000001d0 21.1982d0 0.1645d0 text
100.4415d0 22.7143d0 -0.2767d0 text
100.24329999999999d0 23.6517d0 0.3402d0 text
98.2403d0 28.1235d0 -2.537d0 text
101.1225d0 19.9131d0 -0.0683d0 text
99.4489d0 19.6084d0 -0.8805999999999999d0 text
100.56769999999999d0 16.1496d0 0.4365d0 text
100.7698d0 13.4939d0 0.18339999999999998d0 text
101.38579999999999d0 12.4664d0 0.3734d0 text
101.729d0 14.258299999999998d0 -0.07640000000000001d0 text
100.6117d0 16.3949d0 -0.6461d0 text
100.6729d0 7.4184d0 0.4306d0 text
101.11580000000001d0 4.2742d0 0.1166d0 text
98.1693d0 8.4938d0 -1.1126d0 text
100.0535d0 4.4482d0 0.3394d0 text
98.6048d0 -0.9842d0 0.29819999999999997d0 text
100.9252d0 3.4352d0 -1.2886d0 text
98.9089d0 -0.8027d0 0.3023d0 text
99.4004d0 0.20339999999999997d0 0.1204d0 text
98.5103d0 -0.9841000000000001d0 0.4658d0 text
97.7882d0 -5.862d0 0.2883d0 text
98.15899999999999d0 -4.7856000000000005d0 0.1202d0 text
95.7727d0 -3.9837d0 -0.19369999999999998d0 text
94.8331d0 -0.43290000000000006d0 -0.44939999999999997d0 text
96.5935d0 -5.432300000000001d0 0.4586d0 text
95.8175d0 -4.4756d0 0.05159999999999999d0 text
98.2601d0 -7.2853d0 -0.2565d0 text
97.8912d0 -10.7374d0 0.1555d0 text
96.76d0 -30.0533d0 0.2868d0 text
96.8836d0 -29.1796d0 0.7095d0 text
97.1248d0 -32.4416d0 0.0726d0 text
92.8562d0 -19.5501d0 -3.9379999999999997d0 text
96.84d0 -32.3359d0 0.01d0 text
96.4579d0 -32.054d0 -0.1414d0 text
93.65820000000001d0 -28.1008d0 -1.6489d0 text
98.1775d0 -30.638700000000004d0 -0.1525d0 text
98.04310000000001d0 -34.527d0 0.24620000000000003d0 text
105.17030000000001d0 -32.7427d0 -1.8121000000000003d0 text
97.5341d0 -35.2921d0 0.6988d0 text
86.8586d0 -33.0641d0 -0.4482d0 text
84.86059999999999d0 -33.8255d0 0.2932d0 text
88.8057d0 -32.3899d0 -1.174d0 text
89.8275d0 -32.0741d0 -1.5223d0 text
90.4306d0 -31.8797d0 -1.7402999999999997d0 text
89.6541d0 -32.182500000000005d0 -1.4355d0 text
87.0001d0 -33.1274d0 -0.496d0 text
141.2363d0 -15.1041d0 -20.0119d0 text
89.5976d0 -31.4002d0 -1.5283d0 text
85.4226d0 -33.3836d0 0.0785d0 text
86.2793d0 -32.9092d0 -0.2636d0 text
92.3892d0 -29.6668d0 -2.6511d0 text
91.85940000000001d0 -29.823499999999996d0 -2.1666000000000003d0 text
85.32849999999999d0 -33.3441d0 0.0837d0 text
86.6757d0 -32.5636d0 -0.43179999999999996d0 text
85.4923d0 -33.6631d0 0.21d0 text
86.5912d0 -33.260400000000004d0 -0.057499999999999996d0 text
85.243d0 -33.7151d0 0.2821d0 text
84.8869d0 -33.8282d0 0.3764d0 text
87.7256d0 -32.742d0 -0.3906d0 text
88.27709999999999d0 -32.4639d0 -0.5498000000000001d0 text
87.8172d0 -32.588d0 -0.44549999999999995d0 text
85.16890000000001d0 -33.6758d0 0.3269d0 text
85.5453d0 -33.4942d0 0.22820000000000001d0 text
85.0511d0 -33.692699999999995d0 0.3509d0 text
84.65350000000001d0 -33.8362d0 0.44349999999999995d0 text
86.31d0 -33.0891d0 0.013200000000000002d0 text
88.5251d0 -32.054500000000004d0 -0.6455d0 text
84.42110000000001d0 -33.9154d0 0.5264d0 text
84.58879999999999d0 -33.8278d0 0.47219999999999995d0 text
85.90440000000001d0 -33.1825d0 0.13929999999999998d0 text
85.50330000000001d0 -33.332499999999996d0 0.20110000000000003d0 text
86.723d0 -32.657399999999996d0 -0.06989999999999999d0 text
85.6501d0 -33.1622d0 0.35509999999999997d0 text
85.7239d0 -33.1569d0 0.3448d0 text
85.3663d0 -33.372600000000006d0 0.4143d0 text
85.1222d0 -33.507999999999996d0 0.45770000000000005d0 text
85.8093d0 -33.1734d0 0.35569999999999996d0 text
85.423d0 -33.3851d0 0.40619999999999995d0 text
85.7325d0 -33.2361d0 0.3331d0 text
85.8392d0 -33.2016d0 0.2952d0 text
85.83370000000001d0 -33.2203d0 0.3074d0 text
85.68050000000001d0 -33.3021d0 0.3702d0 text
85.54159999999999d0 -33.3825d0 0.392d0 text
85.9213d0 -33.2162d0 0.3357d0 text
85.9756d0 -33.1999d0 0.2987d0 text
